ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
605178.SH,605178,时空科技,北京,装修装饰,主板,20200821,172995.5388,172995.5388
605179.SH,605179,一鸣食品,浙江,乳制品,主板,20201228,815634.0,815634.0
605180.SH,605180,华生科技,浙江,纺织,主板,20210430,237445.0,237445.0
605183.SH,605183,确成股份,江苏,化工原料,主板,20201207,744430.8296,744430.8296
605186.SH,605186,健麾信息,上海,专用机械,主板,20201222,310624.0,310624.0
605188.SH,605188,国光连锁,江西,超市连锁,主板,20200728,373667.32,373667.32
605189.SH,605189,富春染织,安徽,纺织,主板,20210528,192599.5004,192599.5004
605196.SH,605196,华通线缆,河北,电气设备,主板,20210511,682829.5126,682025.8426
605198.SH,605198,安德利,山东,软饮料,主板,20200918,1193517.6,946334.928
605199.SH,605199,葫芦娃,海南,中成药,主板,20200710,631771.7194,631771.7194
605208.SH,605208,永茂泰,上海,铝,主板,20210308,518335.74,518335.74
605218.SH,605218,伟时电子,江苏,元器件,主板,20200928,493560.7937,493560.7937
605222.SH,605222,起帆电缆,上海,电气设备,主板,20200731,643712.3784,643712.3784
605228.SH,605228,神通科技,浙江,汽车配件,主板,20210120,534218.8474,530453.0854
605255.SH,605255,天普股份,浙江,汽车配件,主板,20200825,205812.8,205812.8
605258.SH,605258,协和电子,江苏,元器件,主板,20201203,286088.0,286088.0
605259.SH,605259,绿田机械,浙江,农用机械,主板,20210615,285626.88,285626.88
605266.SH,605266,健之佳,云南,医药商业,主板,20201201,321937.9604,289189.1126
605268.SH,605268,王力安防,浙江,家居用品,主板,20210224,388265.4,376704.0
605277.SH,605277,新亚电子,浙江,元器件,主板,20210106,532496.1026,515559.0499
605286.SH,605286,同力日升,江苏,运输设备,主板,20210322,653520.0,653520.0
605287.SH,605287,德才股份,山东,装修装饰,主板,20210706,196980.0,196980.0
605288.SH,605288,凯迪股份,江苏,电气设备,主板,20200601,285709.5718,285709.5718
605289.SH,605289,罗曼股份,上海,建筑工程,主板,20210426,296739.9865,293269.6125
605296.SH,605296,神农集团,云南,农业综合,主板,20210528,1390823.3818,1386615.6058
605298.SH,605298,必得科技,江苏,运输设备,主板,20210301,277642.3,272915.656
605299.SH,605299,舒华体育,福建,文教休闲,主板,20201215,375817.6869,375178.5869
605300.SH,605300,佳禾食品,江苏,乳制品,主板,20210430,580014.5,580014.5
605303.SH,605303,园林股份,浙江,建筑工程,主板,20210301,159302.5591,159302.5591
605305.SH,605305,中际联合,北京,工程机械,主板,20210506,588467.88,588467.88
